GeneID,Species,Gene,Tissue,Description,Chromosome,Start_position,End_position,Exon_count,Reference
4162,"Homo sapiens",MCAM,Endothelia,"melanoma cell adhesion molecule",11,119305759,119317130,16,10.1161/CIRCRESAHA.109.213827
4233,"Homo sapiens",MET,Muscle,"MET proto-oncogene, receptor tyrosine kinase",7,116672196,116798386,24,10.1371/journal.pone.0081757
4314,"Homo sapiens",MMP3,Cartilage,"matrix metallopeptidase 3",11,102835801,102843609,10,10.1128/MCB.01288-07
4803,"Homo sapiens",NGF,Bone,"nerve growth factor",1,115285915,115338253,4,10.1016/j.brainres.2009.01.056
4803,"Homo sapiens",NGF,Heart,"nerve growth factor",1,115285915,115338253,4,10.1161/CIRCRESAHA.109.210088
4851,"Homo sapiens",NOTCH1,Epithelia,"notch receptor 1",9,136494433,136546048,34,10.1152/ajpgi.90225.2008
4851,"Homo sapiens",NOTCH1,Pancreas,"notch receptor 1",9,136494433,136546048,34,10.1053/j.gastro.2007.11.003
4878,"Homo sapiens",NPPA,Endothelia,"natriuretic peptide A",1,11845709,11847783,3,10.1152/ajpheart.00414.2002
5069,"Homo sapiens",PAPPA,Bone,"pappalysin 1",9,116153752,116402321,22,10.1210/en.2004-1351
5156,"Homo sapiens",PDGFRA,Pancreas,"platelet derived growth factor receptor alpha",4,54229127,54298245,28,10.1038/nature10502
5697,"Homo sapiens",PYY,Pancreas,"peptide YY",17,43952733,44004445,7,10.1385/ENDO:30:1:103
5803,"Homo sapiens",PTPRZ1,"Spinal cord","protein tyrosine phosphatase receptor type Z1",7,121873161,122062036,31,10.1186/1471-2377-9-32
6271,"Homo sapiens",S100A1,Cartilage,"S100 calcium binding protein A1",1,153628434,153632039,3,10.1002/jcp.24547
6285,"Homo sapiens",S100B,Cartilage,"S100 calcium binding protein B",21,46598604,46605243,3,10.1002/jcp.24547
6469,"Homo sapiens",SHH,Epithelia,"sonic hedgehog signaling molecule",7,155799980,155812463,8,10.1038/nature01493
6469,"Homo sapiens",SHH,Intestine,"sonic hedgehog signaling molecule",7,155799980,155812463,8,10.1111/jgh.12445
6714,"Homo sapiens",SRC,Kidney,"SRC proto-oncogene, non-receptor tyrosine kinase",20,37344690,37406050,17,10.1016/S0002-9440(10)63651-6
7040,"Homo sapiens",TGFB1,Skin,"transforming growth factor beta 1",19,41330323,41353922,7,10.1038/sj.jid.5700951
7422,"Homo sapiens",VEGFA,"Spinal cord","vascular endothelial growth factor A",6,43770209,43786487,9,"PMID: 23236888"
7448,"Homo sapiens",VTN,Skin,vitronectin,17,28367284,28370307,8,10.1111/j.0022-202X.2004.22527.x
8425,"Homo sapiens",LTBP4,Skin,"latent transforming growth factor beta binding protein 4",19,40593166,40629820,35,10.1073/pnas.1215779110
8626,"Homo sapiens",TP63,"Stem cell","tumor protein p63",3,189596746,189897276,17,10.1073/pnas.0503437102
8842,"Homo sapiens",PROM1,"Stem cell","prominin 1",4,15968226,16084059,35,10.1089/scd.2006.15.839
8857,"Homo sapiens",FCGBP,Skin,"Fc fragment of IgG binding protein",19,39863323,39934626,32,10.1002/stem.1167
9370,"Homo sapiens",ADIPOQ,Skin,"adiponectin, C1Q and collagen domain containing",3,186842710,186858463,4,10.1111/j.1600-0765.2012.01467.x
10135,"Homo sapiens",NAMPT,Endothelia,"nicotinamide phosphoribosyltransferase",7,106248298,106284983,11,10.1111/j.1474-9726.2009.00453.x
10481,"Homo sapiens",HOXB13,Skin,"homeobox B13",17,48724763,48728750,2,10.1074/jbc.M505262200
10763,"Homo sapiens",NES,Epithelia,nestin,1,156668763,156677407,4,10.14670/HH-25.177
10979,"Homo sapiens",FERMT2,Skin,"FERM domain containing kindlin 2",14,52857271,52951050,18,10.1038/jid.2010.273
23135,"Homo sapiens",KDM6B,Tooth,"lysine demethylase 6B",17,7834210,7854796,28,10.1038/ijos.2013.77
23411,"Homo sapiens",SIRT1,Bone,"sirtuin 1",10,67884656,67918390,11,10.1111/j.1600-0765.2011.01394.x
30062,"Homo sapiens",RAX,Retina,"retina and anterior neural fold homeobox",18,59267038,59273454,3,10.1002/dvg.22378
57103,"Homo sapiens",TIGAR,Intestine,"TP53 induced glycolysis regulatory phosphatase",12,4321213,4360028,6,10.1016/j.devcel.2013.05.001
284217,"Homo sapiens",LAMA1,Heart,"laminin subunit alpha 1",18,6941742,7117797,63,10.1634/stemcells.2007-0732
11491,"Mus musculus",Adam17,Liver,"ADAM metallopeptidase domain 17",12,21373510,21423633,56,10.1152/ajpgi.00326.2012
11491,"Mus musculus",Adam17,Muscle,"ADAM metallopeptidase domain 17",12,21373510,21423633,56,10.1242/jcs.125328
11450,"Mus musculus",Adipoq,Liver,"adiponectin, C1Q and collagen domain containing",16,22965286,22976778,6,10.1016/j.bbrc.2008.10.176
11450,"Mus musculus",Adipoq,Skin,"adiponectin, C1Q and collagen domain containing",16,22965286,22976778,6,10.1111/j.1600-0765.2012.01467.x
11555,"Mus musculus",Adrb2,"Salivary gland","adrenoceptor beta 2",18,62310887,62313030,1,10.1111/j.1432-0436.2007.00251.x
11576,"Mus musculus",Afp,Liver,"alpha fetoprotein",5,90638596,90656766,25,10.1016/j.ydbio.2009.09.026
11596,"Mus musculus",Ager,Liver,"advanced glycosylation end-product specific receptor",17,34816836,34819910,40,10.1084/jem.20040934
11596,"Mus musculus",Ager,Nerve,"advanced glycosylation end-product specific receptor",17,34816836,34819910,40,10.2337/db12-0632
11606,"Mus musculus",Agt,Endothelia,angiotensinogen,8,125283273,125296445,5,10.1152/ajpcell.00306.2010
11651,"Mus musculus",Akt1,Liver,"AKT serine/threonine kinase 1",12,112620255,112641318,38,10.1002/hep.22583
11651,"Mus musculus",Akt1,Muscle,"AKT serine/threonine kinase 1",12,112620255,112641318,38,10.1074/jbc.M112.341784
11651,"Mus musculus",Akt1,Nerve,"AKT serine/threonine kinase 1",12,112620255,112641318,38,10.1016/j.bbrc.2013.12.037
11600,"Mus musculus",Angpt1,Kidney,"angiopoietin 1",15,42288119,42540373,11,10.1159/000345142
11732,"Mus musculus",Ank,Tooth,"ANKH inorganic pyrophosphate transport regulator",15,27466763,27594995,17,10.1902/jop.2011.110103
11816,"Mus musculus",Apoe,Nerve,"apolipoprotein E",7,19430034,19433113,26,10.1093/hmg/ddr147
11839,"Mus musculus",Areg,Liver,amphiregulin,5,91287458,91296291,6,10.1016/j.jhep.2009.06.030
11876,"Mus musculus",Artn,Nerve,artemin,4,117783359,117786960,14,10.1523/JNEUROSCI.2195-10.2010
67855,"Mus musculus",Asprv1,Skin,"aspartic peptidase retroviral like 1",6,86605146,86606692,1,10.1038/jid.2010.54
11793,"Mus musculus",Atg5,Liver,"autophagy related 5",10,44144354,44240287,11,10.1002/hep.27140
11921,"Mus musculus",Atoh1,"Hair cell","atonal bHLH transcription factor 1",6,64706109,64708229,1,10.1016/j.heares.2010.03.085
12028,"Mus musculus",Bax,Nerve,"BCL2 associated X, apoptosis regulator",7,45111121,45116322,17,10.1016/s1044-7431(03)00219-7
12043,"Mus musculus",Bcl2,Nerve,"BCL2 apoptosis regulator",1,106465908,106642004,3,10.1016/j.brainres.2004.05.107
12125,"Mus musculus",Bcl2l11,Liver,"BCL2 like 11",2,127967958,128004467,21,10.1016/j.bbamcr.2007.03.019
12064,"Mus musculus",Bdnf,Nerve,"brain derived neurotrophic factor",2,109505045,109557352,14,10.1523/JNEUROSCI.1411-11.2012
11799,"Mus musculus",Birc5,Liver,"baculoviral IAP repeat containing 5",11,117740077,117746569,6,10.1111/j.1478-3231.2008.01911.x
12162,"Mus musculus",Bmp7,Bone,"bone morphogenetic protein 7",2,172709805,172782114,9,10.1002/jor.20973
12266,"Mus musculus",C3,Liver,"complement C3",17,57510970,57535136,54,10.1016/j.molimm.2008.03.008
12266,"Mus musculus",C3,"Spinal cord","complement C3",17,57510970,57535136,54,10.1016/j.neulet.2010.08.056
12389,"Mus musculus",Cav1,Liver,"caveolin 1",6,17306334,17341451,27,10.1074/jbc.M109.072900
12396,"Mus musculus",Cbfa2t2,Epithelia,"CBFA2/RUNX1 partner transcriptional co-repressor 2",2,154278401,154381276,27,10.1053/j.gastro.2006.06.009
18133,"Mus musculus",Ccn3,Bone,"cellular communication network factor 3",15,54609098,54617435,5,10.1074/jbc.M113.454652
12447,"Mus musculus",Ccne1,Liver,"cyclin E1",7,37797409,37806959,22,10.1002/hep.26584
12772,"Mus musculus",Ccr2,Muscle,"C-C motif chemokine receptor 2",9,123901987,123913594,9,10.1152/ajpcell.00467.2003
12505,"Mus musculus",Cd44,Kidney,"CD44 molecule (Indian blood group)",2,102641486,102732010,35,10.1038/sj.ki.5002334
12661,"Mus musculus",Chl1,Nerve,"cell adhesion molecule L1 like",6,103487547,103727172,43,10.1002/glia.20925
12822,"Mus musculus",Col18a1,Liver,"collagen type XVIII alpha 1 chain",10,76888012,77002382,51,10.1016/j.jss.2007.02.001
53867,"Mus musculus",Col5a3,Bone,"collagen type V alpha 3 chain",9,20681346,20726363,109,10.1016/j.matbio.2005.03.006
20315,"Mus musculus",Cxcl12,Pancreas,"C-X-C motif chemokine ligand 12",6,117145496,117158328,11,10.1083/jcb.200304153
20315,"Mus musculus",Cxcl12,Skin,"C-X-C motif chemokine ligand 12",6,117145496,117158328,11,10.1111/j.1582-4934.2009.00887.x
12765,"Mus musculus",Cxcr2,Liver,"C-X-C motif chemokine receptor 2",1,74193148,74200405,5,10.1002/hep.22471
12766,"Mus musculus",Cxcr3,Skin,"C-X-C motif chemokine receptor 3",X,100775141,100777875,2,10.2353/ajpath.2010.090564
12767,"Mus musculus",Cxcr4,Liver,"C-X-C motif chemokine receptor 4",1,128515936,128520030,4,10.1634/stemcells.2006-0656
12767,"Mus musculus",Cxcr4,Pancreas,"C-X-C motif chemokine receptor 4",1,128515936,128520030,4,10.1083/jcb.200304153
12767,"Mus musculus",Cxcr4,Skin,"C-X-C motif chemokine receptor 4",1,128515936,128520030,4,10.1016/j.ydbio.2013.07.020
114886,"Mus musculus",Cygb,Muscle,cytoglobin,11,116536421,116545139,4,10.1073/pnas.1314962111
13386,"Mus musculus",Dlk1,Liver,"delta like non-canonical Notch ligand 1",12,109418749,109429262,25,10.1074/jbc.M111.312751
14082,"Mus musculus",Fadd,Liver,"Fas associated via death domain",7,144131055,144136200,2,10.3748/wjg.v11.i46.7248
218952,"Mus musculus",Fermt2,Skin,"FERM domain containing kindlin 2",14,45696252,45767575,26,10.1038/jid.2010.273
14165,"Mus musculus",Fgf10,Tooth,"fibroblast growth factor 10",13,118806327,118928651,11,10.1128/MCB.01439-10
14170,"Mus musculus",Fgf15,Bone,"fibroblast growth factor 18",7,144450268,144454690,11,10.1089/ten.TEA.2010.0719
14172,"Mus musculus",Fgf18,Liver,"fibroblast growth factor 19",11,33067430,33097400,8,10.1152/ajpgi.00337.2013
14173,"Mus musculus",Fgf2,Lung,"fibroblast growth factor 2",3,37402495,37464257,16,10.1016/j.jtcvs.2013.07.039
15218,"Mus musculus",Foxn1,Thymus,"forkhead box N1",11,78248403,78277384,9,10.1016/j.clim.2013.11.002
14313,"Mus musculus",Fst,Muscle,follistatin,13,114588826,114595487,16,10.1083/jcb.200912093
14613,"Mus musculus",Gja5,"Stem cell","gap junction protein alpha 1",3,96812009,96984732,8,10.1152/ajpcell.00458.2008
414089,"Mus musculus",Gja6,Kidney,"gap junction protein alpha 5",X,159685112,159690048,2,10.1007/s10157-012-0687-2
14615,"Mus musculus",Gjc1,Muscle,"gap junction protein gamma 1",11,102690405,102710526,9,10.1242/jcs.01553
118446,"Mus musculus",Gjc3,Nerve,"gap junction protein gamma 3",5,137951723,137961360,4,10.1097/WNR.0b013e32834051c7
14652,"Mus musculus",Glp1r,Pancreas,"glucagon like peptide 1 receptor",17,31120791,31159765,16,10.2337/diabetes.52.2.365
14711,"Mus musculus",Gnmt,Liver,"glycine N-methyltransferase",17,47036590,47040094,12,10.1002/hep.23033
236781,"Mus musculus",Gpr119,Pancreas,"G protein-coupled receptor 119",X,47756856,47763355,2,10.1371/journal.pone.0053345
67839,"Mus musculus",Gpsm1,Epithelia,"G protein signaling modulator 1",2,26205527,26238249,40,10.1096/fj.10-169797
67839,"Mus musculus",Gpsm1,Kidney,"G protein signaling modulator 1",2,26205527,26238249,40,10.1096/fj.10-169797
56637,"Mus musculus",Gsk3b,Bone,"glycogen synthase kinase 3 beta",16,37909363,38066446,26,10.1016/j.bbrc.2013.09.126
15182,"Mus musculus",Hdac2,"Hair cell","histone deacetylase 2",10,36850540,36877885,25,10.1038/jid.2013.283
208727,"Mus musculus",Hdac4,Heart,"histone deacetylase 4",1,91856501,92123421,70,10.1152/ajpcell.00187.2013
15184,"Mus musculus",Hdac5,Nerve,"histone deacetylase 5",11,102085258,102120992,99,10.1038/emboj.2012.160
15205,"Mus musculus",Hes1,Epithelia,"hes family bHLH transcription factor 1",16,29883202,29886614,11,10.1007/s10620-010-1441-9
15208,"Mus musculus",Hes5,Epithelia,"hes family bHLH transcription factor 5",4,155045380,155046828,5,10.1007/s10162-009-0162-2
15208,"Mus musculus",Hes5,"Hair cell","hes family bHLH transcription factor 5",4,155045380,155046828,5,10.1016/j.heares.2010.03.085
15234,"Mus musculus",Hgf,Bone,"hepatocyte growth factor",5,16758493,16825150,34,10.4049/jimmunol.1001238
15234,"Mus musculus",Hgf,Muscle,"hepatocyte growth factor",5,16758493,16825150,34,10.1007/s10974-010-9209-6
15234,"Mus musculus",Hgf,Pancreas,"hepatocyte growth factor",5,16758493,16825150,34,10.2337/db13-0333
15289,"Mus musculus",Hmgb1,Muscle,"high mobility group box 1",5,148983512,149121299,27,10.1016/j.jvs.2012.11.071
15460,"Mus musculus",Hr,"Hair cell","HR lysine demethylase and nuclear receptor corepressor",14,70789652,70810988,29,10.1073/pnas.0507609102
15465,"Mus musculus",Hrh1,Bone,"histamine receptor H1",6,114374897,114460257,12,10.1016/j.cellimm.2007.02.008
15466,"Mus musculus",Hrh2,Bone,"histamine receptor H2",13,54346148,54390199,7,10.1016/j.cellimm.2007.02.008
15894,"Mus musculus",Icam1,Liver,"intercellular adhesion molecule 1",9,20927281,20940113,9,10.1053/gast.2003.50098
15894,"Mus musculus",Icam1,Nerve,"intercellular adhesion molecule 1",9,20927281,20940113,9,10.1007/s00441-009-0837-3
15901,"Mus musculus",Id1,Muscle,"inhibitor of DNA binding 1, HLH protein",2,152578171,152579330,3,10.1007/s00401-005-1049-x
15902,"Mus musculus",Id2,Nerve,"inhibitor of DNA binding 2",12,25143798,25147139,7,10.1016/j.expneurol.2011.05.013
15978,"Mus musculus",Ifng,Liver,"interferon gamma",10,118276951,118281797,6,10.1186/1742-2094-9-8810.1053/j.gastro.2004.08.055
15978,"Mus musculus",Ifng,"Spinal cord","interferon gamma",10,118276951,118281797,6,10.1186/1742-2094-9-88
15982,"Mus musculus",Ifrd1,Muscle,"interferon related developmental regulator 1",12,40251566,40298503,38,10.1128/MCB.24.8.3514-3525.2004
15982,"Mus musculus",Ifrd1,Nerve,"interferon related developmental regulator 1",12,40251566,40298503,38,10.1111/j.1460-9568.2007.05951.x
16000,"Mus musculus",Igf1,Skin,"insulin like growth factor 1",10,87694127,87772904,20,10.2353/ajpath.2008.071177
16000,"Mus musculus",Igf1,Muscle,"insulin like growth factor 1",10,87694127,87772904,20,10.1128/MCB.00138-06
16001,"Mus musculus",Igf1r,Endothelia,"insulin like growth factor 1 receptor",7,67602575,67883416,35,10.1161/ATVBAHA.114.304121
16001,"Mus musculus",Igf1r,Liver,"insulin like growth factor 1 receptor",7,67602575,67883416,35,10.1096/fj.05-4704fje
16001,"Mus musculus",Igf1r,Muscle,"insulin like growth factor 1 receptor",7,67602575,67883416,35,10.1210/en.2013-1209
16002,"Mus musculus",Igf2,Pancreas,"insulin like growth factor 2",7,142204503,142220553,22,10.1371/journal.pone.0043623
16006,"Mus musculus",Igfbp1,Liver,"insulin like growth factor binding protein 1",11,7147782,7152546,4,10.1128/MCB.23.4.1251-1259.2003
16151,"Mus musculus",Ikbkg,Misc,"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma",X,73436896,73497460,49,10.1016/j.nbd.2011.05.008
16153,"Mus musculus",Il10,Pancreas,"interleukin 10",1,130947582,130952711,5,10.1152/ajpgi.00431.2001
16153,"Mus musculus",Il10,Liver,"interleukin 10",1,130947582,130952711,5,10.1016/j.ajpath.2011.01.001
16153,"Mus musculus",Il10,"Stem cell","interleukin 10",1,130947582,130952711,5,10.1634/stemcells.2007-0002
16171,"Mus musculus",Il17a,Liver,"interleukin 17A",1,20801129,20804720,3,10.1016/j.jss.2013.03.033
16171,"Mus musculus",Il17a,Nerve,"interleukin 17A",1,20801129,20804720,3,10.1016/j.ajpath.2010.12.001
50929,"Mus musculus",Il22,Skin,"interleukin 22",10,118040847,118045952,5,10.4049/jimmunol.0903907
50929,"Mus musculus",Il22,Thymus,"interleukin 22",10,118040847,118045952,5,10.1016/j.clim.2013.11.002
16193,"Mus musculus",Il6,Liver,"interleukin 6",5,30218112,30224979,11,10.1074/jbc.M110.115147
16193,"Mus musculus",Il6,Muscle,"interleukin 6",5,30218112,30224979,11,10.1074/jbc.M112.419788
16193,"Mus musculus",Il6,Nerve,"interleukin 6",5,30218112,30224979,11,10.1111/j.1471-4159.2006.04257.x
16196,"Mus musculus",Il7,Liver,"interleukin 6 cytokine family signal transducer",3,7635054,7678820,19,10.1074/jbc.M705483200
116849,"Mus musculus",Iltifb,Bone,"interleukin 7",10,118125534,118130943,7,10.4049/jimmunol.1001238
16331,"Mus musculus",Inpp5d,"Stem cell","inositol polyphosphate-5-phosphatase D",1,87548034,87648229,54,10.1182/blood-2002-12-3939
384783,"Mus musculus",Irs2,Pancreas,"insulin receptor substrate 2",8,11034681,11058458,2,10.1210/en.2013-1796
16403,"Mus musculus",Itga6,Nerve,"integrin subunit alpha 6",2,71575960,71688760,49,10.1523/JNEUROSCI.3068-08.2008
16410,"Mus musculus",Itgav,Retina,"integrin subunit alpha V",2,83554741,83637260,49,"PMID: 16479252"
16412,"Mus musculus",Itgb1,Nerve,"integrin subunit beta 1",8,129412135,129459681,36,10.1016/s1044-7431(02)00034-9
15374,"Mus musculus",Jpt1,Nerve,"Jupiter microtubule associated homolog 1",11,115388179,115405213,17,10.1002/jnr.20676
16476,"Mus musculus",Jun,Nerve,"Jun proto-oncogene, AP-1 transcription factor subunit",4,94937271,94940459,1,10.1016/j.exger.2012.02.006
107250,"Mus musculus",Kazald1,Bone,"Kazal type serine peptidase inhibitor domain 1",19,45063680,45067728,8,10.1016/j.bbrc.2004.10.157
16542,"Mus musculus",Kdr,Bone,"kinase insert domain receptor",5,76093487,76139118,44,10.1016/j.stem.2009.01.006
16570,"Mus musculus",Kif3c,Nerve,"kinesin family member 3C",12,3415132,3456494,20,10.1523/JNEUROSCI.5221-12.2013
16590,"Mus musculus",Kit,Muscle,"KIT proto-oncogene, receptor tyrosine kinase",5,75735576,75817382,41,10.1111/j.1582-4934.2011.01330.x
16600,"Mus musculus",Klf4,Nerve,"Kruppel like factor 4",4,55527143,55532466,9,10.1038/ncomms3633
16668,"Mus musculus",Krt18,Prostate,"keratin 18",15,101936615,101940462,7,10.1155/2013/576472
16819,"Mus musculus",Lcn2,Kidney,"lipocalin 2",2,32274645,32278264,21,10.1152/ajprenal.90250.2008
16846,"Mus musculus",Lep,Endothelia,leptin,6,29060219,29073876,5,10.1161/CIRCRESAHA.107.169375
16854,"Mus musculus",Lgals3,Nerve,"galectin 3",14,47605208,47623617,18,10.1016/j.expneurol.2009.01.008
14160,"Mus musculus",Lgr5,"Hair cell","leucine rich repeat containing G protein-coupled receptor 5",10,115286216,115423685,41,10.1242/dev.070284
14160,"Mus musculus",Lgr5,Intestine,"leucine rich repeat containing G protein-coupled receptor 5",10,115286216,115423685,41,10.1073/pnas.1118857109
14725,"Mus musculus",Lrp2,Nerve,"LDL receptor related protein 2",2,69254684,69416409,85,10.1523/JNEUROSCI.6012-08.2009
108075,"Mus musculus",Ltbp4,Skin,"latent transforming growth factor beta binding protein 4",7,27004561,27037117,75,10.1073/pnas.1215779110
17035,"Mus musculus",Lxn,Bone,latexin,3,67365331,67371259,13,10.1016/j.bbrc.2008.11.111
26419,"Mus musculus",Mapk8,Liver,"mitogen-activated protein kinase 8",14,33099855,33169115,42,10.1172/JCI33913
11720,"Mus musculus",Mat1a,Liver,"methionine adenosyltransferase 1A",14,40826992,40846369,14,10.1096/fj.03-1204fje
17181,"Mus musculus",Matn2,Nerve,"matrilin 2",15,34306823,34436419,29,10.1242/jcs.040378
94111,"Mus musculus",Mepe,Bone,"matrix extracellular phosphoglycoprotein",5,104473195,104486477,3,10.1007/s00418-004-0653-5
17292,"Mus musculus",Mesp1,Heart,"mesoderm posterior bHLH transcription factor 1",7,79441989,79443536,2,10.1016/j.stem.2008.06.017
17295,"Mus musculus",Met,Liver,"MET proto-oncogene, receptor tyrosine kinase",6,17463799,17573979,43,10.1002/hep.24796
17295,"Mus musculus",Met,Muscle,"MET proto-oncogene, receptor tyrosine kinase",6,17463799,17573979,43,10.1371/journal.pone.0081757
17295,"Mus musculus",Met,Pancreas,"MET proto-oncogene, receptor tyrosine kinase",6,17463799,17573979,43,10.2337/db13-0333
17390,"Mus musculus",Mmp2,Nerve,"matrix metallopeptidase 2",8,93553919,93580048,23,10.1523/JNEUROSCI.0200-07.2007
17690,"Mus musculus",Msi1,Epithelia,"musashi RNA binding protein 1",5,115567658,115593757,43,10.1007/s10620-010-1441-9
17701,"Mus musculus",Msx1,Misc,"msh homeobox 1",5,37977829,37981927,3,10.1242/dev.00710
14489,"Mus musculus",Mtpn,Muscle,myotrophin,6,35485841,35516823,6,10.1016/s0960-8966(02)00185-2
17869,"Mus musculus",Myc,Epithelia,"MYC proto-oncogene, bHLH transcription factor",15,61857240,61862223,17,10.1371/journal.pone.0048704
17869,"Mus musculus",Myc,Intestine,"MYC proto-oncogene, bHLH transcription factor",15,61857240,61862223,17,10.1016/j.devcel.2010.07.015
17984,"Mus musculus",Ndn,"Stem cell","necdin, MAGE family member",7,61996317,62000010,1,10.1182/blood-2009-07-230292
15531,"Mus musculus",Ndst1,Nerve,"N-deacetylase and N-sulfotransferase 1",18,60817566,60881722,26,10.1016/j.expneurol.2013.01.025
11925,"Mus musculus",Neurog3,Pancreas,"neurogenin 3",10,61968869,61970542,5,10.1369/jhc.2009.954206
18018,"Mus musculus",Nfatc1,"Hair cell","nuclear factor of activated T cells 1",18,80649420,80756286,18,10.1073/pnas.1320301110
18018,"Mus musculus",Nfatc1,Kidney,"nuclear factor of activated T cells 1",18,80649420,80756286,18,10.1681/ASN.2008010094
18033,"Mus musculus",Nfkb1,Intestine,"nuclear factor kappa B subunit 1",3,135290416,135397308,64,10.1128/IAI.06101-11
18049,"Mus musculus",Ngf,Heart,"nerve growth factor",3,102377235,102428329,11,10.1161/CIRCRESAHA.109.210088
18053,"Mus musculus",Ngfr,"Spinal cord","nerve growth factor receptor",11,95459644,95478561,6,10.1523/JNEUROSCI.4281-03.2004
18128,"Mus musculus",Notch1,"Hair cell","notch receptor 1",2,26347915,26406675,53,10.1016/j.heares.2010.03.085
18129,"Mus musculus",Notch2,Bone,"notch receptor 2",3,97920843,98057677,42,10.1172/JCI43868
27528,"Mus musculus",Nrep,Lung,"neuronal regeneration related protein",18,33570072,33597082,11,10.1165/rcmb.2005-0475OC
18222,"Mus musculus",Numb,Epithelia,"NUMB endocytic adaptor protein",12,83840808,83968708,40,10.1371/journal.pone.0053540
18377,"Mus musculus",Omg,"Spinal cord","oligodendrocyte myelin glycoprotein",11,79391808,79394910,2,10.1002/dvg.20557
30044,"Mus musculus",Opn4,Retina,"opsin 4",14,34312575,34322099,14,10.1073/pnas.0711397105
11545,"Mus musculus",Parp1,Pancreas,"poly(ADP-ribose) polymerase 1",1,180396489,180428819,42,10.2119/molmed.2011.00458
18504,"Mus musculus",Pax2,"Hair cell","paired box 2",19,44744484,44826310,17,10.1038/srep02996
18508,"Mus musculus",Pax6,Epithelia,"paired box 6",2,105499245,105527709,71,10.1002/cne.22463
11994,"Mus musculus",Pcdh15,"Hair cell","protocadherin related 15",10,72935174,74485569,124,10.1523/JNEUROSCI.1949-10.2010
18538,"Mus musculus",Pcna,Epithelia,"proliferating cell nuclear antigen",2,132091082,132095234,17,10.1080/01926230701302558
18548,"Mus musculus",Pcsk1,Pancreas,"proprotein convertase subtilisin/kexin type 1",13,75237945,75282980,21,10.4161/isl.2.3.11396
13026,"Mus musculus",Pcyt1a,Liver,"phosphate cytidylyltransferase 1A, choline",16,32249739,32293888,28,10.1139/y2012-116
18595,"Mus musculus",Pdgfra,Pancreas,"platelet derived growth factor receptor alpha",5,75312953,75358876,39,10.1038/nature10502
18609,"Mus musculus",Pdx1,Liver,"pancreatic and duodenal homeobox 1",5,147206769,147212658,2,10.1016/j.surg.2004.05.024
18609,"Mus musculus",Pdx1,Pancreas,"pancreatic and duodenal homeobox 1",5,147206769,147212658,2,10.1097/MPA.0b013e318157753e
18708,"Mus musculus",Pik3r1,Pancreas,"phosphoinositide-3-kinase regulatory subunit 1",13,101817071,101904725,29,10.1053/j.gastro.2005.03.016
18712,"Mus musculus",Pim1,Heart,"Pim-1 proto-oncogene, serine/threonine kinase",17,29709727,29715086,22,10.1161/CIRCRESAHA.109.208629
11520,"Mus musculus",Plin2,Liver,"perilipin 2",4,86566623,86588297,24,10.1016/j.jhep.2013.07.025
53892,"Mus musculus",Ppm1d,Epithelia,"protein phosphatase, Mg2+/Mn2+ dependent 1D",11,85202070,85237892,8,10.4049/jimmunol.1300363
18760,"Mus musculus",Prkd1,Skin,"protein kinase D1",12,50388014,50695881,19,10.1074/jbc.M110.105619
18933,"Mus musculus",Prrx1,Skin,"paired related homeobox 1",1,163072688,163141279,17,10.1038/jid.2011.223
19211,"Mus musculus",Pten,Epithelia,"phosphatase and tensin homolog",19,32734897,32803560,17,10.1016/j.neuroscience.2010.08.024
19211,"Mus musculus",Pten,Pancreas,"phosphatase and tensin homolog",19,32734897,32803560,17,10.1128/MCB.26.7.2772-2781.2006
14764,"Mus musculus",Ptgdr2,"Hair cell","prostaglandin D2 receptor 2",19,10914524,10919875,3,10.1038/jid.2012.398
19215,"Mus musculus",Ptgds,Skin,"prostaglandin D2 synthase",2,25356721,25360058,19,10.1038/jid.2012.398
19225,"Mus musculus",Ptgs2,Bone,"prostaglandin-endoperoxide synthase 2",1,149975782,149983978,13,10.1007/s00223-009-9282-2
14083,"Mus musculus",Ptk2,Intestine,"protein tyrosine kinase 2",15,73076951,73295129,95,10.1016/j.devcel.2010.07.015
19242,"Mus musculus",Ptn,"Stem cell",pleiotrophin,6,36691864,36787155,7,10.1038/nm.2119
217212,"Mus musculus",Pyy,Pancreas,"peptide YY",11,101997502,101998658,10,10.1385/ENDO:30:1:103
19645,"Mus musculus",Rb1,"Hair cell","RB transcriptional corepressor 1",14,73421113,73563262,40,10.1523/JNEUROSCI.5989-09.2010
19692,"Mus musculus",Reg1,Pancreas,"regenerating family member 1 alpha",6,78399694,78405650,10,10.1177/1535370213493715
30053,"Mus musculus",Reg3d,Pancreas,"regenerating family member 1 beta",6,78352857,78355848,7,10.4049/jimmunol.1001596
11848,"Mus musculus",Rhoa,Muscle,"ras homolog family member A",9,108183328,108215133,14,10.1096/fj.13-233460
19892,"Mus musculus",Rpe65,Retina,"retinoid isomerohydrolase RPE65",3,159304812,159330958,22,10.1073/pnas.1008769107
20130,"Mus musculus",Rras,Endothelia,"RAS related",7,44667385,44671071,12,10.1038/nm1324
68585,"Mus musculus",Rtn4,"Spinal cord","reticulon 4",11,29642947,29694331,26,10.1523/JNEUROSCI.1864-09.2009
